dataset,encoder,strategy,param,status,fallback,val_acc,val_ce,checkpoint_epoch
dtd,resnet18,s1,lam=0,ok,0,0.45691487193107605,1.9930983781814575,3
dtd,resnet18,s2,"beta=0.25,m=1",ok,0,0.46329784393310547,2.354567050933838,4
