dataset,encoder,target,head,T,k_shot,run,seed_type,seed,n_train,test_acc,baseline_acc,delta_acc,final_train_loss
dtd,resnet18,image_prototype,fm_standard,4,5shot,0,subset,0,235,0.4654255211353302,0.4723404347896576,-0.006914913654327393,0.3591748686546975
dtd,resnet18,image_prototype,fm_rollout,4,5shot,0,subset,0,235,0.46755319833755493,0.4723404347896576,-0.004787236452102661,0.347627248535765
dtd,clip_rn50,clip_text,fm_standard,4,5shot,0,subset,0,235,0.23191489279270172,0.3978723287582397,-0.16595743596553797,0.5280113047741829
dtd,clip_rn50,clip_text,fm_rollout,4,5shot,0,subset,0,235,0.21595744788646698,0.3978723287582397,-0.1819148808717727,0.51866968236071
