dataset,encoder,head,k_shot,n_runs,mean_acc,std_acc,delta_mean,delta_std
dtd,resnet18,fm_s1,10shot,3,0.5361702044804891,0.00888471164332245,-0.006914893786112468,0.006955684188355469
dtd,resnet18,fm_s1_lambda0,10shot,3,0.535106380780538,0.012508481985082318,-0.007978717486063639,0.009764671752338899
dtd,resnet18,fm_s2,10shot,3,0.5446808536847433,0.00697598578202623,0.0015957554181416829,0.004544688231274059
dtd,resnet18,pinned_probe,10shot,3,0.5430850982666016,0.0027638950479170073,0.0,0.0
fgvc_aircraft,dinov2_vits14,fm_s1,10shot,3,0.5217521786689758,0.011113252793327878,0.008800884087880453,0.002271769723503151
fgvc_aircraft,dinov2_vits14,fm_s1_lambda0,10shot,3,0.5179518063863119,0.008810542936005314,0.005000511805216472,0.009517774786767227
fgvc_aircraft,dinov2_vits14,fm_s2,10shot,3,0.537953794002533,0.009525654446693989,0.02500249942143758,0.005032389724603576
fgvc_aircraft,dinov2_vits14,pinned_probe,10shot,3,0.5129512945810953,0.009494119171848383,0.0,0.0
