head,class_idx,class_name,t,cosine,l2
fm_standard,0,727-200,0.0,0.8345016241073608,0.4282331168651581
fm_standard,0,727-200,0.08333333333333333,0.8559805154800415,0.40652555227279663
fm_standard,0,727-200,0.16666666666666666,0.8744747042655945,0.3867873251438141
fm_standard,0,727-200,0.25,0.890316903591156,0.36896398663520813
fm_standard,0,727-200,0.3333333333333333,0.9038252830505371,0.3530154526233673
fm_standard,0,727-200,0.4166666666666667,0.9152992963790894,0.33890238404273987
fm_standard,0,727-200,0.5,0.9250185489654541,0.32657569646835327
fm_standard,0,727-200,0.5833333333333334,0.9332398772239685,0.31597012281417847
fm_standard,0,727-200,0.6666666666666666,0.9401949644088745,0.30700281262397766
fm_standard,0,727-200,0.75,0.9460885524749756,0.2995761036872864
fm_standard,0,727-200,0.8333333333333334,0.9510983228683472,0.29358434677124023
fm_standard,0,727-200,0.9166666666666666,0.9553746581077576,0.2889215648174286
fm_standard,0,727-200,1.0,0.9590425491333008,0.2854890525341034
fm_standard,1,737-300,0.0,0.8371608257293701,0.44911786913871765
fm_standard,1,737-300,0.08333333333333333,0.8613571524620056,0.4201366603374481
fm_standard,1,737-300,0.16666666666666666,0.8823988437652588,0.3931085467338562
fm_standard,1,737-300,0.25,0.9004546403884888,0.3681159019470215
fm_standard,1,737-300,0.3333333333333333,0.9157549142837524,0.34524065256118774
fm_standard,1,737-300,0.4166666666666667,0.9285722970962524,0.32454705238342285
fm_standard,1,737-300,0.5,0.9392011761665344,0.30606698989868164
fm_standard,1,737-300,0.5833333333333334,0.9479416012763977,0.2897891104221344
fm_standard,1,737-300,0.6666666666666666,0.9550836086273193,0.2756534814834595
fm_standard,1,737-300,0.75,0.9608969688415527,0.2635518014431
fm_standard,1,737-300,0.8333333333333334,0.965623140335083,0.25333380699157715
fm_standard,1,737-300,0.9166666666666666,0.9694727659225464,0.24481813609600067
fm_standard,1,737-300,1.0,0.9726236462593079,0.23780596256256104
fm_standard,2,737-700,0.0,0.7588824033737183,0.5484086275100708
fm_standard,2,737-700,0.08333333333333333,0.7938461303710938,0.5106862187385559
fm_standard,2,737-700,0.16666666666666666,0.8246089220046997,0.47587135434150696
fm_standard,2,737-700,0.25,0.8511511087417603,0.44413602352142334
fm_standard,2,737-700,0.3333333333333333,0.873641848564148,0.41562312841415405
fm_standard,2,737-700,0.4166666666666667,0.8923996686935425,0.39041584730148315
fm_standard,2,737-700,0.5,0.9078436493873596,0.3685118854045868
fm_standard,2,737-700,0.5833333333333334,0.9204431772232056,0.3498081564903259
fm_standard,2,737-700,0.6666666666666666,0.9306743741035461,0.33410072326660156
fm_standard,2,737-700,0.75,0.9389854669570923,0.32110127806663513
fm_standard,2,737-700,0.8333333333333334,0.9457738399505615,0.31046727299690247
fm_standard,2,737-700,0.9166666666666666,0.9513750076293945,0.30183812975883484
fm_standard,2,737-700,1.0,0.9560593962669373,0.29486992955207825
fm_standard,3,767-300,0.0,0.7904031872749329,0.6799858808517456
fm_standard,3,767-300,0.08333333333333333,0.8059142827987671,0.6385347247123718
fm_standard,3,767-300,0.16666666666666666,0.8220525979995728,0.598876953125
fm_standard,3,767-300,0.25,0.8383430242538452,0.561235785484314
fm_standard,3,767-300,0.3333333333333333,0.854323148727417,0.525840699672699
fm_standard,3,767-300,0.4166666666666667,0.8695827722549438,0.4929068684577942
fm_standard,3,767-300,0.5,0.8837935924530029,0.4626156985759735
fm_standard,3,767-300,0.5833333333333334,0.8967292904853821,0.43509793281555176
fm_standard,3,767-300,0.6666666666666666,0.9082694053649902,0.41042211651802063
fm_standard,3,767-300,0.75,0.9183899164199829,0.3885887861251831
fm_standard,3,767-300,0.8333333333333334,0.9271442890167236,0.3695320188999176
fm_standard,3,767-300,0.9166666666666666,0.9346388578414917,0.35312721133232117
fm_standard,3,767-300,1.0,0.9410115480422974,0.3392036557197571
fm_standard,4,A320,0.0,0.8846750259399414,0.42117440700531006
fm_standard,4,A320,0.08333333333333333,0.9025046229362488,0.39075496792793274
fm_standard,4,A320,0.16666666666666666,0.91777104139328,0.3629550039768219
fm_standard,4,A320,0.25,0.9306007623672485,0.3379304111003876
fm_standard,4,A320,0.3333333333333333,0.9411889314651489,0.3157959580421448
fm_standard,4,A320,0.4166666666666667,0.9497847557067871,0.2965945303440094
fm_standard,4,A320,0.5,0.9566704630851746,0.28027522563934326
fm_standard,4,A320,0.5833333333333334,0.9621376991271973,0.26668521761894226
fm_standard,4,A320,0.6666666666666666,0.966467559337616,0.25557878613471985
fm_standard,4,A320,0.75,0.9699134230613708,0.2466423660516739
fm_standard,4,A320,0.8333333333333334,0.972692608833313,0.23952898383140564
fm_standard,4,A320,0.9166666666666666,0.9749802947044373,0.23389416933059692
fm_standard,4,A320,1.0,0.976912260055542,0.22942520678043365
fm_standard,5,A340-200,0.0,0.8052845001220703,0.5037326216697693
fm_standard,5,A340-200,0.08333333333333333,0.8205064535140991,0.48543959856033325
fm_standard,5,A340-200,0.16666666666666666,0.8351268768310547,0.4683624804019928
fm_standard,5,A340-200,0.25,0.8490095138549805,0.45249322056770325
