dataset,classifier,backbone,k_shot,n_seeds,acc,std
cifar10,kmeans2_cos__dinov2_vits14,dinov2_vits14,5,10,0.8602599799633026,0.01453930500669364
cifar10,kmeans3_cos__dinov2_vits14,dinov2_vits14,5,10,0.8480799734592438,0.013785877667967144
cifar10,proto_cos__resnet50,resnet50,5,10,0.692769980430603,0.02255871034033087
cifar10,proto_eucl__resnet50,resnet50,5,10,0.6882799863815308,0.023130678475282843
cifar10,linear__resnet50,resnet50,5,10,0.6820499837398529,0.022410867259110987
cifar10,kmeans2_cos__resnet50,resnet50,5,10,0.6656199753284454,0.02150606210570238
cifar10,kmeans3_cos__resnet50,resnet50,5,10,0.6457699835300446,0.023496720924658238
cifar10,proto_cos__clip_vitb32,clip_vitb32,10,10,0.8625799715518951,0.018023800053610657
cifar10,proto_eucl__clip_vitb32,clip_vitb32,10,10,0.8625099778175354,0.017203774763913927
cifar10,linear__clip_vitb32,clip_vitb32,10,10,0.8892999708652496,0.007945783561565304
cifar10,kmeans2_cos__clip_vitb32,clip_vitb32,10,10,0.8500499844551086,0.017416607097919503
cifar10,kmeans3_cos__clip_vitb32,clip_vitb32,10,10,0.8388199746608734,0.01707134160249556
cifar10,proto_cos__dinov2_vits14,dinov2_vits14,10,10,0.9025299787521363,0.007560865952039174
cifar10,proto_eucl__dinov2_vits14,dinov2_vits14,10,10,0.9022199809551239,0.008753385628791976
cifar10,linear__dinov2_vits14,dinov2_vits14,10,10,0.8968799829483032,0.009668818749054947
cifar10,kmeans2_cos__dinov2_vits14,dinov2_vits14,10,10,0.8957099735736846,0.011684598236383141
cifar10,kmeans3_cos__dinov2_vits14,dinov2_vits14,10,10,0.8856999635696411,0.006293916771328759
cifar10,proto_cos__resnet50,resnet50,10,10,0.7524799823760986,0.021641774333963415
cifar10,proto_eucl__resnet50,resnet50,10,10,0.7507499754428864,0.024183014761892968
cifar10,linear__resnet50,resnet50,10,10,0.7531999826431275,0.017926196793988537
cifar10,kmeans2_cos__resnet50,resnet50,10,10,0.7334099888801575,0.016924508868347357
cifar10,kmeans3_cos__resnet50,resnet50,10,10,0.7202399790287017,0.021579068708396053
cifar10,clip_zeroshot__clip_vitb32,clip_vitb32,0,1,0.8830999732017517,0.0
cifar10,clip_zeroshot_ens__clip_vitb32,clip_vitb32,0,1,0.887499988079071,0.0
