dataset,encoder,head,k_shot,T,seed,baseline_acc,normalized_acc,raw_acc,raw_minus_normalized,raw_final_train_loss,raw_checkpoint_epoch
dtd,resnet18,fm_standard,5shot,12,0,0.4723404347896576,0.4414893686771393,0.3340425491333008,-0.1074468195438385,37.989826007599525,189
dtd,resnet18,fm_rollout,5shot,12,0,0.4723404347896576,0.4000000059604645,0.21808511018753052,-0.18191489577293396,1.2634199639584156,198
dtd,resnet18,fm_standard,10shot,12,0,0.5239361524581909,0.4914893507957458,0.3952127695083618,-0.09627658128738398,29.600567724349652,195
dtd,resnet18,fm_rollout,10shot,12,0,0.5239361524581909,0.403191477060318,0.2707446813583374,-0.1324467957019806,1.4903207454275578,199
dtd,resnet18,fm_standard,full,12,0,0.5877659320831299,0.5952127575874329,0.4265957474708557,-0.16861701011657715,34.86697281370772,198
dtd,resnet18,fm_rollout,full,12,0,0.5877659320831299,0.5579787492752075,0.4819149076938629,-0.0760638415813446,0.531933520195332,195
fgvc_aircraft,resnet18,fm_standard,5shot,12,0,0.1509150862693786,0.1680168062448501,0.11431143432855606,-0.05370537191629404,29.16128091430664,199
fgvc_aircraft,resnet18,fm_rollout,5shot,12,0,0.1509150862693786,0.1554155349731445,0.07650765031576157,-0.07890788465738294,1.8761906003952027,198
fgvc_aircraft,resnet18,fm_standard,10shot,12,0,0.2019201964139938,0.2454245388507843,0.13471347093582153,-0.11071106791496277,27.496297973632814,193
fgvc_aircraft,resnet18,fm_rollout,10shot,12,0,0.2019201964139938,0.2268226891756057,0.17521752417087555,-0.05160516500473014,1.3111539640426635,199
fgvc_aircraft,resnet18,fm_standard,full,12,0,0.2520252168178558,0.3174317479133606,0.16081608831882477,-0.15661565959453583,22.826382423634293,197
fgvc_aircraft,resnet18,fm_rollout,full,12,0,0.2520252168178558,0.2475247532129287,0.18601860105991364,-0.06150615215301505,0.2466270911546975,198
fgvc_aircraft,dinov2_vits14,fm_standard,5shot,12,0,0.2166216671466827,0.31893190741539,0.2406240552663803,-0.0783078521490097,84.56408728027344,181
fgvc_aircraft,dinov2_vits14,fm_rollout,5shot,12,0,0.2166216671466827,0.324332445859909,0.24122412502765656,-0.08310832083225245,4.331650466918945,199
fgvc_aircraft,dinov2_vits14,fm_standard,10shot,12,0,0.2913291454315185,0.4377437829971313,0.30603060126304626,-0.13171318173408503,105.56661987304688,190
fgvc_aircraft,dinov2_vits14,fm_rollout,10shot,12,0,0.2913291454315185,0.4527452886104584,0.40384039282798767,-0.0489048957824707,1.496226481437683,199
fgvc_aircraft,dinov2_vits14,fm_standard,full,12,0,0.3441344201564789,0.5778577923774719,0.37293729186058044,-0.20492050051689148,99.64769618555538,192
fgvc_aircraft,dinov2_vits14,fm_rollout,full,12,0,0.3441344201564789,0.5439543724060059,0.37083709239959717,-0.1731172800064087,0.0965103779946821,199
