head,class_idx,class_name,t,cosine,l2
fm_standard,0,727-200,0.0,0.9634215235710144,0.23188398778438568
fm_standard,0,727-200,0.08333333333333333,0.9653728604316711,0.21389231085777283
fm_standard,0,727-200,0.16666666666666666,0.9670599699020386,0.1992749124765396
fm_standard,0,727-200,0.25,0.9684234857559204,0.1883612722158432
fm_standard,0,727-200,0.3333333333333333,0.9693861603736877,0.18152664601802826
fm_standard,0,727-200,0.4166666666666667,0.9698778390884399,0.17908509075641632
fm_standard,0,727-200,0.5,0.9698647260665894,0.18117427825927734
fm_standard,0,727-200,0.5833333333333334,0.9693676233291626,0.18769337236881256
fm_standard,0,727-200,0.6666666666666666,0.9684534668922424,0.19833281636238098
fm_standard,0,727-200,0.75,0.9672125577926636,0.21267470717430115
fm_standard,0,727-200,0.8333333333333334,0.9657287001609802,0.2303040474653244
fm_standard,0,727-200,0.9166666666666666,0.9640612006187439,0.2508854269981384
fm_standard,0,727-200,1.0,0.9622414708137512,0.2741957902908325
fm_standard,1,737-300,0.0,0.9827518463134766,0.164419025182724
fm_standard,1,737-300,0.08333333333333333,0.9838752150535583,0.15005356073379517
fm_standard,1,737-300,0.16666666666666666,0.9848082661628723,0.13847015798091888
fm_standard,1,737-300,0.25,0.9854950904846191,0.12998588383197784
fm_standard,1,737-300,0.3333333333333333,0.9858787059783936,0.12491165846586227
fm_standard,1,737-300,0.4166666666666667,0.9859268665313721,0.12344242632389069
fm_standard,1,737-300,0.5,0.9856534600257874,0.12556254863739014
fm_standard,1,737-300,0.5833333333333334,0.9851208329200745,0.13102787733078003
fm_standard,1,737-300,0.6666666666666666,0.9844192266464233,0.13943901658058167
fm_standard,1,737-300,0.75,0.9836332201957703,0.15035441517829895
fm_standard,1,737-300,0.8333333333333334,0.9828237891197205,0.16338305175304413
fm_standard,1,737-300,0.9166666666666666,0.9820207357406616,0.17823198437690735
fm_standard,1,737-300,1.0,0.9812271595001221,0.1947164535522461
fm_standard,2,737-700,0.0,0.97247713804245,0.2062951773405075
fm_standard,2,737-700,0.08333333333333333,0.9739187359809875,0.18959271907806396
fm_standard,2,737-700,0.16666666666666666,0.9751862287521362,0.1758473515510559
fm_standard,2,737-700,0.25,0.9762511253356934,0.16528353095054626
fm_standard,2,737-700,0.3333333333333333,0.9770730137825012,0.15814873576164246
fm_standard,2,737-700,0.4166666666666667,0.9776158928871155,0.15464234352111816
fm_standard,2,737-700,0.5,0.9778668880462646,0.15484194457530975
fm_standard,2,737-700,0.5833333333333334,0.9778451323509216,0.15866197645664215
fm_standard,2,737-700,0.6666666666666666,0.9775947332382202,0.16586826741695404
fm_standard,2,737-700,0.75,0.9771665334701538,0.1761387139558792
fm_standard,2,737-700,0.8333333333333334,0.9766043424606323,0.18913587927818298
fm_standard,2,737-700,0.9166666666666666,0.975938618183136,0.2045622020959854
fm_standard,2,737-700,1.0,0.97518390417099,0.22218795120716095
fm_standard,3,767-300,0.0,0.977575957775116,0.19144044816493988
fm_standard,3,767-300,0.08333333333333333,0.9788380265235901,0.17531494796276093
fm_standard,3,767-300,0.16666666666666666,0.9800691604614258,0.16148142516613007
fm_standard,3,767-300,0.25,0.9812964200973511,0.14998383820056915
fm_standard,3,767-300,0.3333333333333333,0.9825233221054077,0.14089269936084747
fm_standard,3,767-300,0.4166666666666667,0.9837234616279602,0.13428011536598206
fm_standard,3,767-300,0.5,0.984846830368042,0.13019001483917236
fm_standard,3,767-300,0.5833333333333334,0.9858360886573792,0.12861298024654388
fm_standard,3,767-300,0.6666666666666666,0.9866483807563782,0.12947531044483185
fm_standard,3,767-300,0.75,0.9872636198997498,0.1326485127210617
fm_standard,3,767-300,0.8333333333333334,0.9876831769943237,0.1379746049642563
fm_standard,3,767-300,0.9166666666666666,0.9879215359687805,0.14529648423194885
fm_standard,3,767-300,1.0,0.9879977703094482,0.1544824242591858
fm_standard,4,A320,0.0,0.9697915315628052,0.22332260012626648
fm_standard,4,A320,0.08333333333333333,0.9701909422874451,0.20951499044895172
fm_standard,4,A320,0.16666666666666666,0.9702056050300598,0.19914384186267853
fm_standard,4,A320,0.25,0.9697951078414917,0.1924634426832199
fm_standard,4,A320,0.3333333333333333,0.968950092792511,0.18966558575630188
fm_standard,4,A320,0.4166666666666667,0.9677176475524902,0.19080692529678345
fm_standard,4,A320,0.5,0.9662078022956848,0.19577254354953766
fm_standard,4,A320,0.5833333333333334,0.9645681977272034,0.20429429411888123
fm_standard,4,A320,0.6666666666666666,0.9629392623901367,0.21601468324661255
fm_standard,4,A320,0.75,0.9614119529724121,0.23056504130363464
fm_standard,4,A320,0.8333333333333334,0.9600155353546143,0.24762965738773346
fm_standard,4,A320,0.9166666666666666,0.958723783493042,0.26698386669158936
fm_standard,4,A320,1.0,0.9574809074401855,0.2885071933269501
fm_standard,5,A340-200,0.0,0.97553950548172,0.19616618752479553
fm_standard,5,A340-200,0.08333333333333333,0.97666996717453,0.18115666508674622
fm_standard,5,A340-200,0.16666666666666666,0.977354884147644,0.1700102686882019
fm_standard,5,A340-200,0.25,0.977501392364502,0.1630941927433014
fm_standard,5,A340-200,0.3333333333333333,0.9770327210426331,0.16070067882537842
fm_standard,5,A340-200,0.4166666666666667,0.9759295582771301,0.16292166709899902
fm_standard,5,A340-200,0.5,0.9742596745491028,0.16958753764629364
fm_standard,5,A340-200,0.5833333333333334,0.9721666574478149,0.18031032383441925
fm_standard,5,A340-200,0.6666666666666666,0.9698283076286316,0.19459782540798187
fm_standard,5,A340-200,0.75,0.9674027562141418,0.2119685709476471
fm_standard,5,A340-200,0.8333333333333334,0.964993417263031,0.2320244163274765
fm_standard,5,A340-200,0.9166666666666666,0.9626466035842896,0.25447821617126465
fm_standard,5,A340-200,1.0,0.9603609442710876,0.2791530191898346
fm_standard,6,Cessna 172,0.0,0.9803643822669983,0.17982794344425201
fm_standard,6,Cessna 172,0.08333333333333333,0.9801017642021179,0.1712384968996048
fm_standard,6,Cessna 172,0.16666666666666666,0.9792727828025818,0.1664259135723114
fm_standard,6,Cessna 172,0.25,0.9777902364730835,0.16559073328971863
fm_standard,6,Cessna 172,0.3333333333333333,0.9756130576133728,0.1688137948513031
fm_standard,6,Cessna 172,0.4166666666666667,0.9727820158004761,0.17603032290935516
fm_standard,6,Cessna 172,0.5,0.9694309234619141,0.1870558112859726
fm_standard,6,Cessna 172,0.5833333333333334,0.9657561182975769,0.20164702832698822
