dataset,encoder,target,head,T,k_shot,run,seed_type,seed,n_train,test_acc,baseline_acc,delta_acc,final_train_loss,checkpoint_epoch,checkpoint_train_loss
fgvc_aircraft,resnet18,image_prototype,fm_standard,12,5shot,0,subset,0,500,0.16801680624485016,0.1509150862693786,0.017101719975471552,0.06847720956802368,181,0.0661556231379509
fgvc_aircraft,resnet18,image_prototype,fm_rollout,4,5shot,0,subset,0,500,0.15361535549163818,0.1509150862693786,0.002700269222259577,0.019465526327490806,199,0.019465526327490806
fgvc_aircraft,resnet18,image_prototype,fm_rollout,12,5shot,0,subset,0,500,0.15541553497314453,0.1509150862693786,0.004500448703765925,0.020211708709597587,198,0.02011137694120407
fgvc_aircraft,resnet18,image_prototype,fm_standard,4,5shot,1,subset,1,500,0.17971797287464142,0.1659165918827057,0.01380138099193573,0.07150516748428344,181,0.06845601838827133
fgvc_aircraft,resnet18,image_prototype,fm_standard,12,5shot,1,subset,1,500,0.18271827697753906,0.1659165918827057,0.016801685094833374,0.07150516748428344,181,0.06845601838827133
fgvc_aircraft,resnet18,image_prototype,fm_rollout,4,5shot,1,subset,1,500,0.15541553497314453,0.1659165918827057,-0.010501056909561157,0.020384795486927034,193,0.020013848572969437
fgvc_aircraft,resnet18,image_prototype,fm_rollout,12,5shot,1,subset,1,500,0.15361535549163818,0.1659165918827057,-0.012301236391067505,0.02091748109459877,194,0.020892075911164282
fgvc_aircraft,resnet18,image_prototype,fm_standard,4,5shot,2,subset,2,500,0.17971797287464142,0.1644164472818374,0.01530152559280401,0.07264536464214325,181,0.06789863497018814
fgvc_aircraft,resnet18,image_prototype,fm_standard,12,5shot,2,subset,2,500,0.18031802773475647,0.1644164472818374,0.015901580452919062,0.07264536464214325,181,0.06789863497018814
fgvc_aircraft,resnet18,image_prototype,fm_rollout,4,5shot,2,subset,2,500,0.16711671650409698,0.1644164472818374,0.002700269222259577,0.019786936089396478,196,0.019537673741579057
fgvc_aircraft,resnet18,image_prototype,fm_rollout,12,5shot,2,subset,2,500,0.16681668162345886,0.1644164472818374,0.0024002343416214544,0.020579518407583236,193,0.020383688539266587
fgvc_aircraft,resnet18,image_prototype,fm_standard,4,10shot,0,subset,0,1000,0.2430243045091629,0.2019201964139938,0.041104108095169095,0.07725859874486923,190,0.07324509423971176
fgvc_aircraft,resnet18,image_prototype,fm_standard,12,10shot,0,subset,0,1000,0.2454245388507843,0.2019201964139938,0.043504342436790494,0.07725859874486923,190,0.07324509423971176
fgvc_aircraft,resnet18,image_prototype,fm_rollout,4,10shot,0,subset,0,1000,0.20972096920013428,0.2019201964139938,0.00780077278614047,0.02189259286224842,193,0.02170023836195469
fgvc_aircraft,resnet18,image_prototype,fm_rollout,12,10shot,0,subset,0,1000,0.22682268917560577,0.2019201964139938,0.024902492761611966,0.022238577350974082,198,0.022083287119865416
fgvc_aircraft,resnet18,image_prototype,fm_standard,4,10shot,1,subset,1,1000,0.23102310299873352,0.2004200369119644,0.030603066086769132,0.08073038178682328,159,0.07411724376678466
fgvc_aircraft,resnet18,image_prototype,fm_standard,12,10shot,1,subset,1,1000,0.23282328248023987,0.2004200369119644,0.03240324556827548,0.08073038178682328,159,0.07411724376678466
fgvc_aircraft,resnet18,image_prototype,fm_rollout,4,10shot,1,subset,1,1000,0.20372037589550018,0.2004200369119644,0.0033003389835357944,0.022405691161751746,195,0.022085245534777642
fgvc_aircraft,resnet18,image_prototype,fm_rollout,12,10shot,1,subset,1,1000,0.20462046563625336,0.2004200369119644,0.004200428724288968,0.022949956208467483,195,0.022463128834962844
fgvc_aircraft,resnet18,image_prototype,fm_standard,4,10shot,2,subset,2,1000,0.23882387578487396,0.193219318985939,0.045604556798934964,0.07670040333271026,190,0.07223409536480904
fgvc_aircraft,resnet18,image_prototype,fm_standard,12,10shot,2,subset,2,1000,0.23642364144325256,0.193219318985939,0.043204322457313565,0.07670040333271026,190,0.07223409536480904
fgvc_aircraft,resnet18,image_prototype,fm_rollout,4,10shot,2,subset,2,1000,0.20552055537700653,0.193219318985939,0.012301236391067533,0.022079610154032706,198,0.021447027742862702
fgvc_aircraft,resnet18,image_prototype,fm_rollout,12,10shot,2,subset,2,1000,0.20552055537700653,0.193219318985939,0.012301236391067533,0.022476146548986435,198,0.021915281981229783
fgvc_aircraft,resnet18,image_prototype,fm_standard,4,full,0,init,0,3334,0.3162316083908081,0.2520252168178558,0.06420639157295233,0.07555316001999214,196,0.07380928323968985
fgvc_aircraft,resnet18,image_prototype,fm_standard,12,full,0,init,0,3334,0.3174317479133606,0.2520252168178558,0.06540653109550482,0.07555316001999214,196,0.07380928323968985
fgvc_aircraft,resnet18,image_prototype,fm_rollout,4,full,0,init,0,3334,0.2622262239456177,0.2520252168178558,0.010201007127761896,0.06587295292306247,88,0.022450793979228008
fgvc_aircraft,resnet18,image_prototype,fm_rollout,12,full,0,init,0,3334,0.24752475321292877,0.2520252168178558,-0.0045004636049270075,0.019543774556714973,199,0.019543774556714973
fgvc_aircraft,resnet18,image_prototype,fm_standard,4,full,1,init,1,3334,0.31533151865005493,0.2520252168178558,0.06330630183219915,0.07357899307418027,181,0.07236686785133856
fgvc_aircraft,resnet18,image_prototype,fm_standard,12,full,1,init,1,3334,0.3201320171356201,0.2520252168178558,0.06810680031776434,0.07357899307418027,181,0.07236686785133856
fgvc_aircraft,resnet18,image_prototype,fm_rollout,4,full,1,init,1,3334,0.24602460861206055,0.2520252168178558,-0.006000608205795233,0.02756856116519299,98,0.021821403407771642
fgvc_aircraft,resnet18,image_prototype,fm_rollout,12,full,1,init,1,3334,0.2625262439250946,0.2520252168178558,0.010501027107238825,0.020317699316605237,195,0.02021492698777916
fgvc_aircraft,resnet18,image_prototype,fm_standard,4,full,2,init,2,3334,0.3186318576335907,0.2520252168178558,0.06660664081573492,0.07505433627442822,196,0.0728289651375512
fgvc_aircraft,resnet18,image_prototype,fm_standard,12,full,2,init,2,3334,0.3186318576335907,0.2520252168178558,0.06660664081573492,0.07505433627442822,196,0.0728289651375512
fgvc_aircraft,resnet18,image_prototype,fm_rollout,4,full,2,init,2,3334,0.2466246634721756,0.2520252168178558,-0.005400553345680181,0.021845629245453992,194,0.021571017943666806
fgvc_aircraft,resnet18,image_prototype,fm_rollout,12,full,2,init,2,3334,0.2502250373363495,0.2520252168178558,-0.0018001794815062921,0.02059760091051987,198,0.02001337748385148
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,4,5shot,0,subset,0,500,0.3225322663784027,0.2166216671466827,0.10591059923172,0.1784069708585739,181,0.17218875443935394
fgvc_aircraft,dinov2_vits14,image_prototype,fm_standard,12,5shot,0,subset,0,500,0.31893190741539,0.2166216671466827,0.1023102402687073,0.1784069708585739,181,0.17218875443935394
