dataset,classifier,backbone,n_way,k_shot,n_episodes,acc,ci95
cifar10,clip_zeroshot_ens__clip_vitb32,clip_vitb32,5,5,600,0.9321555495262146,0.002717534230270454
mini_imagenet,proto_cos__clip_vitb32,clip_vitb32,5,1,600,0.8914666771888733,0.006358478945186214
mini_imagenet,proto_eucl__clip_vitb32,clip_vitb32,5,1,600,0.9009334444999695,0.006081196952246652
mini_imagenet,linear__clip_vitb32,clip_vitb32,5,1,600,0.9140222072601318,0.005680410308818633
mini_imagenet,proto_cos__dinov2_vits14,dinov2_vits14,5,1,600,0.9441778659820557,0.004695617063874286
mini_imagenet,proto_eucl__dinov2_vits14,dinov2_vits14,5,1,600,0.9456889033317566,0.004729424195888841
mini_imagenet,linear__dinov2_vits14,dinov2_vits14,5,1,600,0.9292000532150269,0.005307900402480579
mini_imagenet,proto_cos__resnet50,resnet50,5,1,600,0.9738444089889526,0.0026365414110569177
mini_imagenet,proto_eucl__resnet50,resnet50,5,1,600,0.786911129951477,0.011291294957628279
mini_imagenet,linear__resnet50,resnet50,5,1,600,0.9215334057807922,0.004506033288680469
mini_imagenet,clip_zeroshot__clip_vitb32,clip_vitb32,5,1,600,0.9900221824645996,0.0010176608759511296
mini_imagenet,clip_zeroshot_ens__clip_vitb32,clip_vitb32,5,1,600,0.9907554984092712,0.0009506357866535635
mini_imagenet,proto_cos__clip_vitb32,clip_vitb32,5,5,600,0.9770444631576538,0.002004524521052389
mini_imagenet,proto_eucl__clip_vitb32,clip_vitb32,5,5,600,0.976555585861206,0.0019909411082625447
mini_imagenet,linear__clip_vitb32,clip_vitb32,5,5,600,0.9826000928878784,0.0015808800576380842
mini_imagenet,kmeans2_cos__clip_vitb32,clip_vitb32,5,5,600,0.973444402217865,0.002157229364740756
mini_imagenet,kmeans3_cos__clip_vitb32,clip_vitb32,5,5,600,0.9687556028366089,0.0025378094744744357
mini_imagenet,proto_cos__dinov2_vits14,dinov2_vits14,5,5,600,0.9856221675872803,0.0014842493182912792
mini_imagenet,proto_eucl__dinov2_vits14,dinov2_vits14,5,5,600,0.9800666570663452,0.0017206288364373869
mini_imagenet,linear__dinov2_vits14,dinov2_vits14,5,5,600,0.981533408164978,0.0016565286331586783
mini_imagenet,kmeans2_cos__dinov2_vits14,dinov2_vits14,5,5,600,0.9845778346061707,0.0014479282321434193
mini_imagenet,kmeans3_cos__dinov2_vits14,dinov2_vits14,5,5,600,0.9840666651725769,0.0015252080642903791
mini_imagenet,proto_cos__resnet50,resnet50,5,5,600,0.9950889348983765,0.000828931586619259
mini_imagenet,proto_eucl__resnet50,resnet50,5,5,600,0.9928666353225708,0.0010455370989328019
mini_imagenet,linear__resnet50,resnet50,5,5,600,0.9817777276039124,0.0016095576890471884
mini_imagenet,kmeans2_cos__resnet50,resnet50,5,5,600,0.993955671787262,0.0008919765527077717
mini_imagenet,kmeans3_cos__resnet50,resnet50,5,5,600,0.9932665824890137,0.000932891422374902
mini_imagenet,clip_zeroshot__clip_vitb32,clip_vitb32,5,5,600,0.9901778101921082,0.0010501870015733783
mini_imagenet,clip_zeroshot_ens__clip_vitb32,clip_vitb32,5,5,600,0.9910444021224976,0.0009905220338899251
