dataset,encoder,head,k_shot,n_runs,mean_acc,std_acc,delta_mean,delta_std
dtd,resnet18,fm_joint,10shot,3,0.5388297835985819,0.006271181085145136,-0.004255314668019612,0.0037234127521912457
dtd,resnet18,clf_only_continued,10shot,3,0.542553186416626,0.0046371000018306935,-0.0005319118499755859,0.001917835449113884
fgvc_aircraft,dinov2_vits14,fm_joint,10shot,3,0.5185518662134806,0.009593138806158892,0.005600571632385254,0.009788216652491223
fgvc_aircraft,dinov2_vits14,clf_only_continued,10shot,3,0.5193519393603007,0.009837158263090201,0.006400644779205322,0.0007550495137951296
