dataset,encoder,target,head,T,k_shot,n_runs,mean_acc,std_acc,baseline_mean,delta_mean,delta_std
dtd,clip_rn50,clip_text,fm_rollout,12,5shot,3,0.47854610284169513,0.01012503101663066,0.3978723287582397,0.08067377408345545,0.01012503101663066
dtd,clip_rn50,clip_text,fm_standard,4,10shot,3,0.5641843875249227,0.008415928169170432,0.39787232875823975,0.166312058766683,0.008415928169170432
dtd,clip_rn50,clip_text,fm_standard,12,10shot,3,0.5670212705930074,0.007671374859169626,0.39787232875823975,0.16914894183476772,0.007671374859169626
dtd,clip_rn50,clip_text,fm_rollout,4,10shot,3,0.5430851181348165,0.007835585228916645,0.39787232875823975,0.1452127893765768,0.007835585228916645
dtd,clip_rn50,clip_text,fm_rollout,12,10shot,3,0.5473404328028361,0.009350190954101245,0.39787232875823964,0.1494681040445964,0.009350190954101245
dtd,clip_rn50,clip_text,fm_standard,4,full,3,0.6303191383679708,0.007503571721532544,0.39787232875823975,0.2324468096097311,0.007503571721532545
dtd,clip_rn50,clip_text,fm_standard,12,full,3,0.6367021401723226,0.0069556841883554685,0.39787232875823975,0.2388298114140829,0.0069556841883554685
dtd,clip_rn50,clip_text,fm_rollout,4,full,3,0.6320922176043192,0.0011072628128073077,0.39787232875823964,0.23421988884607958,0.0011072628128073077
dtd,clip_rn50,clip_text,fm_rollout,12,full,3,0.6157801349957784,0.0123185361398092,0.39787232875823975,0.21790780623753872,0.0123185361398092
fgvc_aircraft,clip_rn50,clip_text,fm_standard,4,5shot,3,0.19201919933160147,0.007017113311664746,0.1704170405864715,0.021602158745129958,0.007017113311664746
fgvc_aircraft,clip_rn50,clip_text,fm_standard,12,5shot,3,0.19451945026715597,0.008163535668120248,0.1704170405864715,0.024102409680684462,0.008163535668120248
fgvc_aircraft,clip_rn50,clip_text,fm_rollout,4,5shot,3,0.1850184996922811,0.007240194888635981,0.1704170405864715,0.014601459105809586,0.007240194888635981
fgvc_aircraft,clip_rn50,clip_text,fm_rollout,12,5shot,3,0.18681868414084116,0.0035542241644336793,0.1704170405864715,0.016401643554369665,0.0035542241644336793
fgvc_aircraft,clip_rn50,clip_text,fm_standard,4,10shot,3,0.2191219131151835,0.006180426684452329,0.1704170405864715,0.04870487252871201,0.006180426684452329
fgvc_aircraft,clip_rn50,clip_text,fm_standard,12,10shot,3,0.22032202780246735,0.003616988610376743,0.1704170405864715,0.049904987215995844,0.003616988610376743
fgvc_aircraft,clip_rn50,clip_text,fm_rollout,4,10shot,3,0.23042304317156473,0.0038305288184445423,0.1704170405864715,0.060006002585093234,0.0038305288184445423
fgvc_aircraft,clip_rn50,clip_text,fm_rollout,12,10shot,3,0.22742274403572083,0.0045303592543589465,0.1704170405864715,0.05700570344924932,0.0045303592543589465
fgvc_aircraft,clip_rn50,clip_text,fm_standard,4,full,3,0.23932393391927084,0.0032912255062183386,0.1704170405864715,0.06890689333279933,0.0032912255062183386
fgvc_aircraft,clip_rn50,clip_text,fm_standard,12,full,3,0.2455245554447174,0.004095538779638535,0.1704170405864715,0.0751075148582459,0.004095538779638535
fgvc_aircraft,clip_rn50,clip_text,fm_rollout,4,full,3,0.3149314820766449,0.010259683506392591,0.1704170405864715,0.1445144414901734,0.010259683506392591
fgvc_aircraft,clip_rn50,clip_text,fm_rollout,12,full,3,0.28642865022023517,0.0021073460426543813,0.1704170405864715,0.11601160963376368,0.0021073460426543813
